Model,Runno,Precision,Recall,F1score,LogLoss,Time,NbKernelNoDuplicates,NbKernelDuplicates
Ridge,0,0.543684708223057,0.5484076433121019,0.53015070453387,2.241730019118061,47712.631749629974,12035,16660
RF,0,0.6114500702007778,0.6133757961783439,0.5568604565401727,1.2824494171749794,47712.631749629974,12035,16660
XGBoost,0,0.65510965115253,0.6719745222929936,0.6329356380469471,1.1472539071491683,47712.631749629974,12035,16660
Ridge,1,0.521622602943887,0.5337579617834395,0.5130947716911076,2.2451573741058217,46957.56039404869,12389,16660
RF,1,0.5658355605494958,0.6070063694267516,0.5490712147337015,1.3523128152311652,46957.56039404869,12389,16660
XGBoost,1,0.6513692863209742,0.675796178343949,0.6384057542016831,1.1362647340902858,46957.56039404869,12389,16660
Ridge,2,0.5061153747579729,0.5229299363057325,0.5028077080452338,2.2498133117526273,45584.812958955765,12194,16660
RF,2,0.5706905910670822,0.6121019108280255,0.5557089960245568,1.342582201636329,45584.812958955765,12194,16660
XGBoost,2,0.6666297164480472,0.6815286624203821,0.6477666231522375,1.1420077619398323,45584.812958955765,12194,16660
