Model,Runno,Precision,Recall,F1score,LogLoss,Time,NbKernelNoDuplicates,NbKernelDuplicates
Ridge,0,0.554384419963961,0.5687898089171974,0.5468210940192624,2.2119087804051074,58423.4962849617,16660,16660
RF,0,0.5744785456482354,0.6146496815286624,0.5577681531153483,1.3517899919873546,58423.4962849617,16660,16660
XGBoost,0,0.6501070923664741,0.6726114649681528,0.6370405340779766,1.1460179755371278,58423.4962849617,16660,16660
Ridge,1,0.5555208783958101,0.5732484076433121,0.552843146584558,2.2076563289373317,61173.94893121719,16660,16660
RF,1,0.5642663253436763,0.6063694267515923,0.5498147993848329,1.2568459443059967,61173.94893121719,16660,16660
XGBoost,1,0.6577826579668025,0.6726114649681528,0.633795160335194,1.1643752638394163,61173.94893121719,16660,16660
Ridge,2,0.5562350677487867,0.5745222929936306,0.5495919048623951,2.2287038849849643,57593.36698579788,16660,16660
RF,2,0.6385954096780104,0.6152866242038216,0.5597673824094282,1.2636267242151653,57593.36698579788,16660,16660
XGBoost,2,0.6343018347628829,0.6668789808917197,0.6293530568928463,1.1632128497998206,57593.36698579788,16660,16660
