Model,Runno,Precision,Recall,F1score,LogLoss,Time
Ridge,0,0.7113523651915145,0.7076433121019108,0.6988314063178471,2.066733043017759,195.32958054542542
RF,0,0.7444697281612174,0.7522292993630574,0.7252705038470303,0.9361413968778607,195.32958054542542
XGBoost,0,0.7664995267367815,0.7796178343949045,0.7601953377561705,0.8312618832174373,195.32958054542542
Ridge,1,0.7140828550975281,0.7152866242038216,0.7035194452473412,2.0630722620516644,195.204660654068
RF,1,0.7706459050811231,0.7573248407643313,0.7286136146459313,0.9151180025576572,195.204660654068
XGBoost,1,0.7758075678747499,0.7770700636942676,0.7597299032471272,0.8067608260020152,195.204660654068
Ridge,2,0.7061464635597714,0.7050955414012738,0.6944668017048754,2.066683069548509,194.90827345848083
RF,2,0.743144556578848,0.7496815286624203,0.7218086252364918,0.910885815273454,194.90827345848083
XGBoost,2,0.7790622273610319,0.7764331210191083,0.7586580331519666,0.8403694299887546,194.90827345848083
