Model,Runno,Precision,Recall,F1score,LogLoss,Time,NbKernelNoDuplicates,NbKernelDuplicates
Ridge,0,0.34281026710347456,0.35859872611464966,0.3449106523294709,2.828571259149932,143074.20150494576,12898,16660
RF,0,0.6051313716724457,0.6426751592356688,0.5807199800620864,1.2033421790458387,143074.20150494576,12898,16660
XGBoost,0,0.6916881167535223,0.6942675159235668,0.6562070308505841,1.0513168707058866,143074.20150494576,12898,16660
UGNB,0,0.3117106510352083,0.28280254777070063,0.28470432612496027,24.771122433547426,143074.20150494576,12898,16660
Ridge,1,0.39655983512203574,0.4070063694267516,0.3943010811076075,2.733860038289975,148158.4653301239,12310,16660
RF,1,0.602862552471664,0.6343949044585987,0.5746718555553957,1.2100296583970898,148158.4653301239,12310,16660
XGBoost,1,0.6830721468919948,0.697452229299363,0.6603851622266151,1.0293870554591484,148158.4653301239,12310,16660
UGNB,1,0.30515747635605495,0.2917197452229299,0.2912334957358539,24.463133344675608,148158.4653301239,12310,16660
